eneoli L-ID	neologism_of_the_week	collection	participant	lemma	language	neologism type	lex innov process	derived from lexemes	POS	grammatical gender	register	gloss	Wikidata concept	usage note	attestation 1 text	attestation 1 source	attestation 1 year	attestation 2 text	attestation 2 source	attestation 2 year	attestation 3 text	attestation 3 source	attestation 3 year
L1950	https://eneoli.eu/eggstravaganza/	ENEOLI Training	G2	eggstravaganza 	en	blend	blending 	egg + extravaganza 	noun	not applicable	informal 	a festive event around Easter, with egg-themed activities and decorations 		humorous effect 	Hop into the Easter spirit with the Eggstravaganza at Heaven Hill Farm. Enjoy the egg scavenger hunt by following the map to find the egg stations around the farm, gather the different colored eggs and turn them in for a fun Easter treat.	https://heavenhillfarm.com/our-events/eggstravaganza/ 	2025	XL Resident advisors get ready for Eggstravaganza in the Bowld Student Commons.	https://app.sketchengine.eu/#concordance?corpname=preloaded%2Fententen21_tt31&tab=basic&keyword=eggstravaganza%20&attrs=word&viewmode=kwic&attr_allpos=all&refs_up=0&shorten_refs=1&glue=1&gdexcnt=300&show_gdex_scores=0&itemsPerPage=20&structs=s%2Cg&refs=%3Ddoc.website&showresults=1&showTBL=0&tbl_template=&gdexconf=&f_tab=basic&f_showrelfrq=1&f_showperc=0&f_showreldens=0&f_showreltt=0&c_customrange=0&t_attr=&t_absfrq=0&t_trimempty=1&t_threshold=5&operations=%5B%7B%22name%22%3A%22iquery%22%2C%22arg%22%3A%22eggstravaganza%20%22%2C%22query%22%3A%7B%22queryselector%22%3A%22iqueryrow%22%2C%22iquery%22%3A%22eggstravaganza%20%22%7D%2C%22id%22%3A8966%7D%5D	2021			
L1951	https://eneoli.eu/noctourism/	ENEOLI Training	G3	noctourism	en	blend	blending 	nocturnal + tourism	noun	not applicable	informal	activities for tourists taking place at night		It is mainly found in media texts, like blogs or promotional texts.	Noctourism, or the recent trend of exploring the world after dark, is set to transform how night owls see the world in 2025. 	https://www.nationalgeographic.com/travel/article/what-is-noctourism-rise-of-after-dark-activities	2025	Watching the animal kingdom at its busiest is one of noctourism’s many draws, and few experiences illustrate the wildlife action like Australia’s moonlit penguin parade	https://www.vogue.com/article/noctourism-travel-trend	2024			
L1952	https://eneoli.eu/kidulting/	ENEOLI Training	G4	kidulting	en	blend, derived word	blending, derivation	kid + adult, kidult + ing	noun	not applicable	informal	a cultural trend in which adults behave like kids	http://www.wikidata.org/wiki/Q185193		Kidulting is a new cultural trend in which adults, particularly millennials, engage in activities traditionally considered more appropriate for children, such as playing with toys and collecting cards. Experts say such pursuits can actually benefit mental health	https://www.firstpost.com/explainers/kidulting-the-trend-becoming-popular-among-millennials-mental-health-13005172.html	2023	Dopamine Land is just one example of a new cultural trend called 'kidulting', where adults engage in lighthearted activities traditionally designed for children. In Amsterdam, Wondr invites patrons to 'dive into a sea of pink marshmallows' and 'write on the walls'. The Museum of Ice Cream, a multistorey playground of pools filled with fake sundae toppings, has expanded from New York to several other American cities and Singapore. Bubble Planet, which started in Madrid, will soon have 13 cities in its orbit, including Brussels and Toronto.	https://www.economist.com/culture/2023/08/15/the-rise-of-kidulting	2023			
L1953	https://eneoli.eu/janxiety/	ENEOLI Training	G5	janxiety	en	blend	blending	January + anxiety	noun	not applicable	informal	a feeling of anxiety experienced leading up to or during January		The term often carries a humuous connotation.	Anxiety in January - or 'Janxiety' as it's most articulately described - is a tough one to deal with. In the wake of the post-Christmas blues you're already feeling a little down, so when the worries and the overthinking set in, it can make it hard to feel like you can manage it all.	https://www.cosmopolitan.com/uk/body/health/a25799013/how-to-stop-anxiety-thinking-strategies/	2019						
L1954		ENEOLI Training	G5 - Ling Li	climaticídio	pt	palavra derivada	sufixação	climat + -cídio	noun	masculine		ato ou processo que resulta em alterações climáticas negativas			Na semana passada, quatro grupos ambientalistas lançaram uma acção judicial contra o grupo por 'climaticídio' devido a um controverso projecto petrolífero na Tanzânia e no Uganda.	https://www.voaportugues.com/a/totalenergies-processada-por-massacre-jihadista-em-moçambique-em-2021/7305734.html	2023						
L1955	https://eneoli.eu/greenager/	ENEOLI Training	G6	greenager	en	blend	blending	green + teenager	noun	not applicable	informal	a teenager who actively participates in environmental advocacy and sustainable living		Also refers to organization Greenagers (https://greenagers.org/).	A teenager who is interested in green issues and takes part in activities that aim to help the environment.	https://dictionaryblog.cambridge.org/2024/12/09/new-words-9-december-2024/	2024						
L1956	https://eneoli.eu/adulting/	ENEOLI Training	G7	adulting	en	suffixed	derivation	adult	noun	not applicable	informal	practice of carrying out responsibilities related to adulthood, often with a feeling of faking them	http://www.wikidata.org/wiki/Q97355348	Normally used with an ironic hint. jocular.	Some days adulting is so hard, you wish you could return to a world of Trapper Keepers and Barbie brushes.	https://gotidbits.com/houston/archive?page=44	2021	It's been tough raising my daughter, working full time, man adulting sucks sometimes I swear.	https://archiveofourown.org/works/3800992/chapters/44963092	2021			
L1957	https://eneoli.eu/glamping/	ENEOLI Training	G8	glamping	en	blend	blending	glamourous + camping	noun	not applicable	informal	outdoor camping with amenities and comforts (e. g. beds, electricity) not usually used when camping	http://www.wikidata.org/wiki/Q2153744	The term can be found in a wide variety of texts (advertisements/publicity, journalistic texts, blogs, social media, etc.).	Consider glamping Want to experience nature without roughing it? Glamping , or 'glamourous camping', could be for you! In recent years, there has been a huge increase in the number of bell tents.		2021						
L1958		ENEOLI Training	Ganna Krapivnyk	глемпінг	uk	anglicism	borrowing		noun	masculine		один із напрямків відпочинку на природі у наметах із зручностями готелю: ліжко, меблі, кухня, душ, санвузол	http://www.wikidata.org/wiki/Q2153744	It is a foreignism, transliterated into Ukrainian that takes Ukrainian functional affixes.	Ви готові вирушити в незабутню пригоду та створити спогади на все життя? Шукайте не далі, аніж кемпінг Мала Річка, де ми пропонуємо все необхідне для справді унікальних та захоплюючих вражень серед природи. У цій статті ми розглянемо концепції кемпінгу та глемпінгу, їх історію, типи кемпінгів, основні відмінності між кемпінгом і глемпінгом, а також надамо рекомендації щодо планування вашої подорожі.	https://malarichka.com/news/shho-take-kemping-ta-glemping-yaki-mizh-nymy-vidminnosti/	2023	Ще 30 років про нього ніхто не знав, сьогодні – це один із найпопулярніших напрямків відпочинку серед туристів. У цій статті ми розповімо про глемпінги, як вони виникли та які бувають.	https://ecopod.ua/blog/what-is-glamping				
L1959		ENEOLI Training	Gorica Tomic	glamping	sr	anglicizam 	pozajmljenica		noun	masculine	neutralan	luksuzno kampovanje	http://www.wikidata.org/wiki/Q2153744	Obicno se koristi u kontekstu turizma.	Otkrijte sa nama šta je to glamping tj. glamurozni kamping dok se lagano vraćate prirodi i sebi a ne odričući se luksuza na koji ste navikli.	https://selo.rs/o/lala-vineyard-glamping-resort	2022						
L1960	https://eneoli.eu/glamping/	ENEOLI Training	Julia Pawels	Glamping	de	Lehnwort	Entlehnung	glamping	noun	neuter	informell	Camping mit Annehmlichkeiten und Komfort (z. B. Betten, Strom, fließendes Wasser), die normalerweise beim Zelten nicht genutzt werden	http://www.wikidata.org/wiki/Q2153744	Dieser Ausdruck kommt in vielen Textsorten vor (z. B. Werbung, journalistischen Texten, Blogs, Social Media, etc.).	Bei Glamping handelt es sich um eine glamouröse Art des Campings. Somit ist Glamping insbesondere für naturverbundene Urlauber interessant, die nicht auf einen besonderen Komfort verzichten möchten. [...] Da beim Glamping vor allem der Komfort im Mittelpunkt steht, haben die Unterkünfte nur wenig mit den klassischen Campingzelten gemeinsam. So sind die Glamping-Unterkünfte mitunter mit bequemen Kingsize-Betten, Küche, Bad, Klimaanlage, Minibar, WLAN und einem TV-Gerät ausgestattet. Zudem stehen auf den Glamping-Anlagen häufig noch weitere Extras, wie beispielsweise eine Sauna, Whirlpools sowie Sport- und Unterhaltungsmöglichkeiten zur Verfügung.	https://glampings.de/blog/glamping-teneriffa	2022						
L1961		ENEOLI Training	Keti Mchedlishvili, Tamar Laluashvili	გლემპინგი	ka	ანგლიციზმი	ნასესხობა		noun	not applicable	სასაუბრო	ტურიზმის ნაირსახეობა, რომელიც აერთიანებს ბუნებრივ გარემოში ყოფნას კომფორტთან ერთად	not attested		გლემპინგი, ეს არის ე.წ. გლამურული კემპინგი, ტურიზმის ინდუსტრიის ახალი მიმართულება, რომელიც საქართველოში დიდი პოპულარობით სარგებლობს.	https://www.marketer.ge/glamping-swoop/	2023						
L1962	https://eneoli.eu/brain-rot/	ENEOLI Training	Kristín Ingibjörg Hlynsdóttir	heilafúi	is	compound	compounding	heili + fúi	noun	masculine		ákveðin gerð af efni á samfélagsmiðlum sem þykir lélegt, eða þær neikvæðu afleiðingar sem neysla slíks efnis hefur á andlega heilsu	http://www.wikidata.org/wiki/Q129981458	Íslenskt nýyrði sem hefur verið notað sem þýðing á enska orðinu brainrot. Orðið heilarotnun hefur einnig verið notað.	Nýjasta tegund þessa efnis er ítalskur heilafúi sem einkennist af kynjaverum, blendingum dýra við önnur fyrirbæri á borð við skó, ávexti eða flugvélar. 	https://www.visir.is/g/20252713694d/italskur-heilafui-dreifir-ser-um-heims-byggdina	2025						
L1963	https://eneoli.eu/climaticide/	ENEOLI Training	Lei Liu	climaticidio	es	fusión		clima + -cidio	noun	masculine		el acto de causar daños o destrucciones significativas al clima	no existe		"
El 'Climaticidio', el último 'reality show' del presidente de Estados Unidos"	https://www.lavanguardia.com/vida/20170601/423130924292/el-climaticidio-el-ultimo-reality-show-del-presidente-de-estados-unidos.html	2017	Cuatro grupos ecologistas denunciaron en Francia al gigante de los hidrocarburos TotalEnergies por 'hechos similares a un climaticidio', en relación con su proyecto petrolero EACOP en Tanzania y Uganda, indicaron este lunes sus abogados.	https://www.barrons.com/news/spanish/grupos-ecologistas-denuncian-a-totalenergies-en-francia-por-proyecto-en-africa-8995d137	2023			
L1964		ENEOLI Training	Lisa-Jane	noctourisme	fr	emprunt	emprunt	noctourism	noun	masculine	semi-formel	activités touristiques prenant place la nuit. 			Le noctourisme a plus que jamais le vent en poupe comme l’annonce « Booking » dans ses prédictions des tendances touristiques pour 2025	https://www.elle.fr/Loisirs/Evasion/Le-noctourisme-quelle-est-cette-tendance-phare-de-voyage-en-2025-4308842	2025	Le « noctourisme » ou tourisme de nuit devient la grande tendance qui bouleverse nos habitudes de voyage, selon une étude menée par le site Booking.	https://www.ouest-france.fr/leditiondusoir/2024-12-18/qu-est-ce-que-le-noctourisme-cette-nouvelle-forme-de-voyage-qui-sera-tendance-en-2025-f5e83dd2-9ec8-4ccb-b68d-3a355ed87b59	2024	Si la quête d’un voyage hors des sentiers battus vous anime, le concept de « noctourisme » va éveiller vos sens. 	https://generationvoyage.fr/noctourisme-evasion-nocturne-2025/	2025
L1965		ENEOLI Training	Lisa-Jane 	climaticide	fr	dérivation	suffixation	climat + -cide	adjective	not applicable	semi-formel	qui contribue, de façon importante, au réchauffement climatique.			"De la COP28 à la COP29, l’année climaticide de TotalEnergies
"	https://bloomassociation.org/de-la-cop28-a-la-cop29-lannee-climaticide-de-totalenergies/	2024	Eacop : le projet climaticide de TotalÉnergies en 6 chiffres	"https://reporterre.net/Eacop-le-projet-climaticide-de-TotalEnergies-en-6-chiffres
"	2023	C'est climaticide', s'insurge vendredi 12 mai sur franceinfo Marine Tondelier alors qu'Emmanuel Macron a répété le même jour à Dunkerque qu'il ne fallait plus 'ajouter' de normes environnementales après avoir appelé à une 'pause' réglementaire au niveau européen.	https://www.radiofrance.fr/franceinfo/podcasts/18h20-franceinfo/propos-d-emmanuel-macron-sur-les-normes-environnementales-c-est-climaticide-denonce-marine-tondelier-9888930	2023
L1966		ENEOLI Training	Martina Pavić, Robert Sviben	glamping	hr	anglizam	posuđenice		noun	masculine	neformalan	luksuzno kampiranje u prirodi			Pojedini hrvatski kampovi odnedavno u svojoj ponudi imaju i vrhunske glamping smještajne objekte, uglavnom grupirane u prava mala glamping naselja u kojima se, osim usluge smještaja, pruža zaista istinski doživljaj luksuza i privatnosti, a nerijetko i više od očekivanog.	https://www.camping.hr/hr/glamping-u-hrvatskoj							
L1967	https://eneoli.eu/fauxmage/	ENEOLI Training	MDD	fauxmage	fr	mot-valise	amalgamation	faux + fromage	noun	masculine	informel	un produit alimentaire qui ressemble au fromage mais qui ne contient pas de produits laitiers	http://www.wikidata.org/wiki/Q21384881, Q1568226		Ce « fauxmage » fabriqué à Alexandria, en Ontario, ne contient pas de lait. Il est à base de cajou, d'huile de coco, de levure alimentaire et de miso.	https://www.lapresse.ca/vivre/sante/nutrition/aliment-sous-la-loupe/201808/16/01-5193219-fauxmage-au-cumin-bonne-solution-de-rechange-au-fromage.php	2018	Par conviction ou par envie de limiter les produits laitiers, vous avez envie de vous essayez à la recette du fauxmage ? Vous êtes au bon endroit !	https://www.marieclaire.fr/cuisine/fauxmage-aux-fines-herbes-fromage-vegan,1428053.asp	2022	Pour les fans de fromage aux laitages d'origine animale : direction les 'fauxmages', qui, comme leurs noms l'indique, proposent des saveurs fromagères, mais sans laitages d'origine animale.	https://www.ladepeche.fr/2021/04/21/viande-imprimee-en-3d-insectes-ou-fauxmage-cherie-quest-ce-quon-mange-ce-soir-9501900.php	2021
L1968		ENEOLI Training	MDD	fauxmage	en	borrowing	borrowing	faux (fr) + fromage (fr)	noun	not applicable	informal	a food resembling cheese but containing no dairy products	http://www.wikidata.org/wiki/Q21384881, Q1568226		Cheese eaters may soon be tucking in to fauxmages, which as the name suggests, provide a high-end alternative to traditional dairy products.	https://www.malaymail.com/news/eat/drink/2021/04/23/3d-printed-meat-insects-or-fauxmage-whats-for-dinner-dear/1968769	2021						
L1969		ENEOLI Training	Michaela	glamping	sk	anglicism	výpožička		noun	masculine	neutral	luxusný kemping	http://www.wikidata.org/wiki/Q2153744	používaný hlavne v reklame a marketingu.	s bezplatným Wi-Fi a výhľadom na more. Klimatizované ubytovanie je vzdialené 23 km od mesta Baška. Fisherman's glamping village se nachází v letovisku Klimno a nabízí restauraci, nepřetržitě otevřenou recepci, bar, zahradu, venkovní	http://klimno.chorvatsko.b-travel.sk/	2023						
L1970	https://eneoli.eu/brain-rot/	ENEOLI Training	Michal, Gabriel	écervelage 	fr	derivation	suffixation	écerveler	noun	masculine	semi-formal	altération de certaines facultés cognitives qui résulterait d'une surconsommation de contenu en ligne perçu comme étant insignifiant ou dépourvu de valeur intellectuelle			Désolé de devoir faire cette mise au point en cette période de haine généralisée, d'écervelage des masses et de décapitation des professeurs pas dans le moule.	https://www.ladepeche.fr/2021/03/18/tests-salivaires-contre-le-covid-19-les-enseignants-sont-obliges-de-payer-le-reste-a-charge-9435172.php	2021						
L1971	https://eneoli.eu/tracances/	ENEOLI Training	Miguel	tracances	fr	blend	blending	travail + vacances	noun	feminine	informal	a period of vacational time along which people occasionally work remotely 		only used in its plural form	L'avènement du télétravail suite à l'arrivée de la crise sanitaire continuera-t-il de faire des adeptes de « tracances » ?	https://www.tourlane.fr/tendance-voyage/	2023						
L1972	https://eneoli.eu/tracances/	ENEOLI Training	Miguel	trabacaciones	es	blend	blending	trabajo + vacaciones	noun	feminine	informal	a period of vacational time along which people occasionally work remotely 		only used in its plural form- Other ortographic variants: trabajaciones, travacaciones	La palabra trabacaciones se emplea desde hace, como poco, una década para expresar la idea de trabajar durante las vacaciones y está bien formada por acronimia a partir de la combinación de trabajo y vacaciones.	https://www.fundeu.es/recomendacion/trabajaciones-posible-alternativa-a-workcation/	2018	¡También es el destino perfecto para irte de trabacaciones ! El espacio local de trabajo colaborativo incluye una cervecería y una panadería.	https://www.visitnorway.es/que-ver-en-noruega/trondelag-noruega-central/la-region-que-rebosa-generosidad/				
#REF!		ENEOLI Training	Petar Božović	glamping	cnr	anglicizam	pozajmljenica		noun	masculine		kampovanje u prirodi u luksuzno dizajniranim kampovima	http://www.wikidata.org/wiki/Q2153744	Česta upotreba u marketniške svrhe u turizmu	Crna Gora je, što zbog klime, što zbog prirodnih ljepota idealna za glamping – luksuzno kampovanje, kažu za Monitor Marijana i Ivan Žegura.	"https://www.monitor.
co.me/
kakve-sve-oblike
-turizma
-osim-masovnog
-crna
-gora-moze-razvijati
-pandemija-otvara
-oci/"	2021						
L1974	https://eneoli.eu/kidulting/	ENEOLI Training	Pilar	kidulting	es	préstamo lingüístico	préstamo lingüístico		noun	masculine	informal	tendencia de los adultos a comportarse como niños	http://www.wikidata.org/wiki/Q185193		El kidulting se refiere a la práctica de adultos que consumen productos, disfrutan de actividades o se sumergen en culturas que normalmente se asocian con los niños. Esto incluye, pero no se limita a, coleccionar juguetes, ver películas animadas, jugar videojuegos o incluso participar en actividades como el cosplay o asistir a convenciones de cómics. A diferencia de los niños, que se relacionan con estos elementos de manera natural, los adultos lo hacen para revivir momentos de su infancia, buscar consuelo emocional o simplemente disfrutar de una forma de entretenimiento libre de responsabilidades.	https://www.larazon.es/familia/que-kidulting-tendencia-que-combina-nostalgia-placer-adulto_20250121678f9a6247e9a00001e09563.html	2025						
L1975	https://eneoli.eu/sharenting/	ENEOLI Training		sharenting	en	blend	blending	sharing + parenting	noun	common	informal	practice of parents sharing content about their children on social media	http://www.wikidata.org/wiki/Q17080407	The term often carries a critical connotation, especially in discussions about privacy, digital consent, and child protection.	Then there’s 'sharenting'. Today, many children’s social media presence starts with a sonogram, posted, obviously, without consent. One study from Britain found that nearly 1,500 images of the average child had been placed online by their fifth birthday.	https://www.nytimes.com/2019/06/05/opinion/children-internet-privacy.html	2019						
L1976		ENEOLI Training	day 1	globesity	en	blend	blending	global x obesity	noun	not applicable		the worldwide prevalence of obesity, often framed as a global public health issue		Often used in public health discourse to emphasize the transnational spread and impact of obesity as a global epidemic	an escalating global epidemic of overweight and obesity – ‘globesity’ – is taking over many parts of the world.	https://www.who.int/activities/controlling-the-global-obesity-epidemic	2025						
L1977		ENEOLI Training	day 1	wellderly	en	blend	blending	well x elderly	noun	not applicable		older adults who are in good health and maintain active, engaged lifestyles		Often used in gerontology, health promotion, and positive aging discourses.									
L1978		ENEOLI Training	day 1	sponge city	en	compound	compounding	sponge + city	noun	not applicable	technical	an urban area designed to absorb, store, filter, and reuse rainwater through green infrastructure and permeable surfaces, in order to reduce flooding, improve water quality, and enhance resilience to climate change	http://www.wikidata.org/wiki/Q63441182	The term is frequently used in the context of climate resilience, particularly in Chinese and Southeast Asian urban development discourse.	Sponge cities' are urban areas with abundant natural areas such as trees, lakes and parks - or other good designs intended to absorb rain and prevent flooding.	https://www.weforum.org/stories/2022/03/sponge-cities-nature-tackle-climate-floods-urban/	2022						
